restaurant_name,city,location,cuisines,average_cost,aggregate_rating,votes,has_online_delivery,has_table_booking,rest_type,dish_liked
Byg Brewski Brewing Company,Sarjapur Road,Sarjapur Road,"Continental, North Indian, Italian, South Indian, Finger Food",1600.0,4.9,16832,True,True,Microbrewery,"Cocktails, Butter Chicken, Dahi Kebab, Rajma Chawal, Craft Beer, Teriyaki Fish, Buffalo Wings"
Toit,Indiranagar,Indiranagar,"Italian, American, Pizza",1500.0,4.7,14956,False,False,Microbrewery,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos"
Truffles,Koramangala 7Th Block,Koramangala 5Th Block,"Cafe, American, Burger, Steak",900.0,4.7,14726,False,False,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert"
AB's - Absolute Barbecues,Marathahalli,Marathahalli,"European, Mediterranean, North Indian, BBQ",1600.0,4.8,12121,False,True,Casual Dining,"Raj Kachori, Paan Kulfi, Churros, Butter Chicken, Momos, Bbq Prawns, Pudding"
The Black Pearl,Koramangala 7Th Block,Koramangala 5Th Block,"North Indian, European, Mediterranean",1400.0,4.7,10550,False,True,"Casual Dining, Bar","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry"
Big Pitcher,Old Airport Road,Old Airport Road,"American, Continental, North Indian, Mediterranean",1800.0,4.6,9300,False,True,"Pub, Microbrewery","Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food"
Onesta,Koramangala 7Th Block,Koramangala 4Th Block,"Pizza, Cafe, Italian",600.0,4.4,9085,True,True,"Casual Dining, Cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza"
Arbor Brewing Company,Residency Road,Brigade Road,"American, Continental",2000.0,4.5,8419,False,True,"Pub, Microbrewery","Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Cocktails, Belgian Brew Beer, Chicken Bbq Wings"
Empire Restaurant,Old Airport Road,Indiranagar,"North Indian, Mughlai, South Indian, Chinese",750.0,4.1,8304,True,False,Casual Dining,"Dum Biryani, Fiery Chicken, Butter Chicken, Pepper Chicken, Paneer Tikka Masala, Chicken Grill, Chilli Chicken"
Prost Brew Pub,Koramangala 7Th Block,Koramangala 4Th Block,"American, Continental, North Indian, Salad",1800.0,4.5,7871,False,True,"Pub, Microbrewery","Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs"
Church Street Social,Residency Road,Church Street,"American, North Indian, Chinese, Finger Food, Momos",1500.0,4.3,7584,True,False,Lounge,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog"
Hoot,Sarjapur Road,Sarjapur Road,"Continental, Italian, North Indian",1400.0,4.2,7330,True,True,"Microbrewery, Pub","Sea Food, Craft Beer, Cocktails, Tempura Prawns, Dahi Ke Kebab, Tandoori Platter, Pasta"
